date,rate,review,weekday
25-04-29,5.0,떨어지기 전에 주문해요. 좋아요,Tuesday
25-04-27,5.0,저렴하게 잘샀어요 빠른배송감사합니다,Sunday
25-04-01,5.0,잘 받았습니다. 감사합니다,Tuesday
24-09-18,5.0,추석연휴 앞두고 탄산이 필요할것같아서 주문한 코카콜라 크기도 귀엽고 탄산이 살아았어 좋아요,Wednesday
25-07-15,5.0,좋아요 잘 마시고 있어요,Tuesday
25-07-08,5.0,용량이  한번에  먹기에 적당하고  맛있어요,Tuesday
25-07-03,5.0,양도 적당하고  맛있고 좋아요,Thursday
25-07-02,5.0,늘 사용하는 제품입니다,Wednesday
25-06-04,5.0,"자주 구매하는 제품, 이마트에서 사면 싸서 좋아요 190ml는 한번에 마시기 좋고 주로 피자, 치킨 배달음식에 먹는 편입니다",Wednesday
25-02-17,5.0,잘 받았습니다. 감사합니다,Monday
25-01-20,5.0,늘 쟁여놓는 콜라에요. 맛있고 배송 빨라요.,Monday
25-01-04,5.0,용량이 적당해  한번에 마시기 좋아요.,Saturday
25-01-04,5.0,늘 쟁여둡니다. 문의 드릴 일 있었는데 처리도 빠르고 친절했어요.,Saturday
25-06-26,5.0,쓱 배송으로 만나 좋습니다. 감사합니다.,Thursday
25-06-25,5.0,할인해서 저렴하게 구입했습니다,Wednesday
25-06-24,5.0,행사가격으로 샀는데 에스머니도 적립 받았고 쿠x보다 저렴하게 샀어요,Tuesday
25-06-19,5.0,새벽배송 편하고좋아요,Thursday
25-06-16,5.0,싸고양도만아요 쿠팡보다쌈,Monday
25-06-16,5.0,좋아요 잘 마시고 있어요,Monday
25-06-14,5.0,저렴하게 잘구매했어용.,Saturday
25-06-09,5.0,항시 구매 하는 품목.. 좋아용,Monday
25-06-08,5.0,임신중이라 소화안될때 적은 용량이라 좋아요,Sunday
25-06-05,5.0,구매해서 만족합니다.,Thursday
25-06-03,5.0,배송 빠르고 작은 캔 좃아요,Tuesday
25-06-02,5.0,할인가격에 적립도 해주고 저렴한 가격에 잘샀습니다,Monday
25-06-02,5.0,늘 쟁여두고 사용합니다.좋아요,Monday
25-05-16,5.0,만족스러운 상품입니다.  빠른 배송 감사드립니다. 재구매 의사 있습니다!!,Friday
25-05-13,5.0,용량이 적어서 남기지 않아서 좋아요,Tuesday
25-05-11,5.0,양이 작아서 좋아요.,Sunday
25-05-07,5.0,좋아요 잘 마시고 있어요,Wednesday
25-05-04,5.0,냉장고에 늘 쟁여놓아요,Sunday
25-05-03,5.0,저렴하게잘구입합니다.,Saturday
25-04-30,5.0,적당한 크기에 만족합니다,Wednesday
25-04-24,5.0,한번에  먹을수 있는  적당량이고  맛도  만족합니다,Thursday
25-04-18,5.0,느끼한 음식엔 콜라죠,Friday
25-04-08,5.0,저렴하게 잘 구매했습니다 마음에 듭니다,Tuesday
25-04-06,5.0,진짜싸게 구잎쌔써ㅛ,Sunday
25-04-03,5.0,박스로 구매하는게 싸요,Thursday
24-12-06,5.0,역시 콜라는 코카콜라 세일하길래 얼른 쟁여뒀어요,Friday
24-11-11,5.0,너무 많이 안 마시려고 쁘띠사이즈로 사먹어요,Monday
24-10-25,5.0,항상 구매하는 제품인데 저렴하게 사게되서 만족해요,Friday
24-10-17,5.0,배송빠르네요ㅋㅋ 콜라는 역시 코카콜라 쟁여템ㅋㅋ,Thursday
24-10-12,5.0,쟁여템이예요. 저렴해요.,Saturday
24-05-08,5.0,늘 재구매해서 쟁여두고 마시는데 저번엔 한번 찌그러져 와서 맛이 없더라구요. 근데 그때는 아는분이 다른데서 구매했던것도 그랬었네요. 이후로는 제대로 오고 있어요. 여름이라 시원한,Wednesday
25-05-22,4.0,작은 사이즈로 되어 있어서 한 번에 먹기 좋은 거 같아요 콜라 좋아하는 사람한테 선물 했어요.,Thursday
25-03-21,5.0,배송 빠르고 좋아요ㅎ,Friday
25-03-21,5.0,잘 받아보았습니다. 재구매의사있습니다. 빠른 배송 감사드립니다.,Friday
25-03-21,5.0,본사직영인지 몰라도  결제후 바로배송. 꼼꼼한 포장 늘 만족합니다,Friday
25-03-11,5.0,가격도  싸고  맛도  좋아요,Tuesday
25-03-04,5.0,배송도빠르고 만족합니다,Tuesday
25-02-21,5.0,꼼꼼하게 전체 비닐로 래핑되서 배달왔습니다 탕비실에 두기 딱 좋은 사이즈에요,Friday
25-02-15,5.0,저렴하게 잘 구매했어요!,Saturday
25-02-11,5.0,항상 구매합니다 좋아요,Tuesday
25-02-07,5.0,용량이 작아서 먹기 편해요,Friday
25-02-02,5.0,늘주문하는거에요ㅎㅎ,Sunday
25-01-20,5.0,"가격도 저렴하고, 배송도 빨라서 정말 좋습니다",Monday
25-01-18,5.0,용량이 작아 한번에 먹기 좋아요,Saturday
25-01-11,5.0,상품 너무 좋아요  감사합니다,Saturday
25-01-10,5.0,용량 작아서 먹기 편해요,Friday
25-01-09,5.0,항상  애용하는  코카콜라이고 양도  적당해서  좋아요,Thursday
25-01-06,5.0,작은용량이라 좋아요. 딱 한번 마시기 좋습니다,Monday
25-01-03,5.0,역시 콜라는 코카콜라,Friday
25-01-03,5.0,좋아요 잘 마시고 있어요,Friday
25-01-01,5.0,"늘 콜라를 사두는데, 용량을 좀 줄여 먹고 있어요. 만족합니다.",Wednesday
25-01-01,5.0,행사로 구매했습니다,Wednesday
24-11-26,5.0,늘 같은곳에서만 주문합니다  포장도 꼼꼼하고 날짜도 길고 .. 파손되는것이 .. 배송 잘 받았습니다,Tuesday
24-11-07,5.0,늘 즐겨 마시는 코카콜라 착한가격에 빠른배송으로 잘 구매하였습니다.  이 용량이 부담없이 마시기 딱 좋아요,Thursday
24-11-03,5.0,"콜라가 떨어지면 안됩니다. 핏자, 치킨, 먹을 때는 반드시 필요합니다. 그래서 자주 구매합니다. 190ml는 한번에 마시고 남기지 않아서 좋습니다",Sunday
24-08-14,5.0,소용량이라 한번에 마시기 좋아요 파손없이 배송  잘 받았어요,Wednesday
24-12-29,5.0,항상 구매하는 품목이에요 좋아요,Sunday
24-12-29,5.0,한번 먹기  좋은 양이에요,Sunday
24-12-26,5.0,콜라는 역시 코카콜라,Thursday
24-12-23,5.0,좋은가격에 좋은물건 빠른배송에 감사드립니다 .,Monday
24-12-22,5.0,맛있어요 자주 사먹어요,Sunday
24-12-19,5.0,항상주문합니다 좋아요,Thursday
24-12-16,5.0,항상 구비하는거라 할인받아 잘 구매했습니다,Monday
24-12-13,5.0,콜라 늘 주문합니다.,Friday
24-12-12,5.0,한번에  먹을수  있는양이라 좋아요,Thursday
24-12-10,5.0,쓱배송 시간대 설정해서 제개인적으론 좋아요ㅎ,Tuesday
24-12-10,5.0,만족합니다. 만족합니다.,Tuesday
24-12-09,5.0,직원 복지용으로 구매 했습니다. 좋아요.,Monday
24-11-30,5.0,친구가 매일 1캔씩 마시는 사람이라..적게마시라고 작은 사이즈로 보냈아요.,Saturday
24-11-27,5.0,사무실 간식으로 구매했습니다. 좋아요!,Wednesday
24-11-24,5.0,애식템 입니다,Sunday
24-11-23,5.0,할인가에 박스로구매해봤어요,Saturday
24-11-22,5.0,좋아요 잘 마시고 있어요,Friday
24-11-21,5.0,빠른배송 감사합니다,Thursday
24-11-20,5.0,떨어지면 안되는 필수품,Wednesday
24-11-19,5.0,최애 콜라입니다.한모금으로 마시기에 좋아요,Tuesday
24-11-19,5.0,소포장으로 간편해요.,Tuesday
24-11-16,5.0,자주사는 제품입니다ㅡ,Saturday
24-11-16,5.0,배송도 빠르고 좋아요,Saturday
24-11-13,5.0,"가성비 최고, 쿠팡보다 저렴. 로켓베송이니 뭐니 머리들을 너무쓰니 그리로 가고싶지않다",Wednesday
24-11-06,5.0,세일해서 얼른 샀어요,Wednesday
24-11-05,5.0,가성비 짱입니다,Tuesday
24-11-04,5.0,좋은금액에 배송도 빠르네요.,Monday
24-11-04,5.0,"배송도 잘 왔고, 유통기한도 넉넉해요",Monday
24-11-01,5.0,매번 주문하는 거에요,Friday
24-11-01,5.0,매번 잘 주문하고있어요. 감사합니다! 다음에 또 주문할게요!!,Friday
24-10-21,5.0,항상 구매하는 제품입니다,Monday
24-10-15,5.0,배송 빠르고 작아서 자주 먹습니다,Tuesday
24-10-13,5.0,맛있게 잘 먹었습니다. 좋아요,Sunday
24-10-12,5.0,싸게 잘 샀네요 좋아요,Saturday
24-10-07,5.0,배송도 빠르고 깔끔하게 왔습니다,Monday
24-10-05,5.0,맛잇고 배송이 빨라요,Saturday
24-10-01,5.0,좋아요 잘 마시고 있어요,Tuesday
24-09-12,5.0,포장도꼼꼼하게 되 있고 마트세일하는것보다 ..전문 음료매장 세일가보다 가격이 더 저렴합니다,Thursday
24-08-29,5.0,요즘 사이다만 먹다가 콜라 다시 주문. 입맛이 둔해진건지.. 요즘 탄산음료 탄산이 약해지게 느껴.. 다시  콜라주문.. 콜라는 탄산이 조금 더 강했으면 좋겠다.,Thursday
24-06-25,5.0,싸게 잘 샀어요마니 파세여,Tuesday
24-06-23,5.0,무료배송으로 잘왔어요.배송빨라요,Sunday
24-06-20,5.0,맛있는 음료 저렴하게 샀고 편하게 배달도 해주셨어요,Thursday
24-06-19,5.0,잘 받았습니다. 감사합니다,Wednesday
24-04-06,5.0,자주애용하는 필수템입니다,Saturday
25-01-17,3.0,코카콜라 도착 했어요  탄산이 적은 느낌 아쉬움,Friday
24-09-26,5.0,저렴하게 구매했습니다,Thursday
24-09-22,5.0,제로줄알고 잘못샀다는.. 사실 오리지널이 맛있죠ㅋㅋ,Sunday
24-09-19,5.0,라이브로 보다 저렴하게 구입했어요!!,Thursday
24-09-19,5.0,배송과포장이 좋았어요,Thursday
24-09-16,5.0,항상 애용하는 제품입니다,Monday
24-09-16,5.0,늘 애용하는 제품입니다,Monday
