date,rate,review,weekday
25-07-20,5.0,늘 포장은 별로이나 코카콜라만 드시는 어머니를 위해 주기적으로 재구매하고 있어요 한 번에 다 못드셔서 양이 적은 걸로 그리고 뚜껑 있는 미니 페트로 지마켓이랑 여기 네이버,Sunday
25-07-13,5.0,어제 오후 느즈막히 주문했는데 오늘 오전에 배송이 딱 왔네요 엄청 배송 빠르네요  아주 큰 캔은 혼자 마시기가 힘들다고 하셔서 항상 요 사이즈로 구매하는데요 항상 동네에서,Sunday
25-07-19,5.0,학생들 간식으로 구매했어요  저렴하게 살 수 있어서 너무 좋아요!  맛있게 먹고 다음번 간식도 또 주문하겠습니다!,Saturday
25-07-19,5.0,"마음이 답답할때, 소화가 되지 않을때, 그냥 땡길때 자유롭게 마실 수 있도록 사무실에 구비해 놓았습니다! 기나긴 회의에 속이 답답할 때, 점심먹고 소화 안도리때, 입이 심심할때",Saturday
25-07-11,5.0,콜라없인 못사는 가족들 땜에 첨으로 대량 구매했는데 쟁여놓고 마실수 있어서 좋네요 배송빠르고 저렴한 가격에 구매해서 좋아요ᆢ또 구매해야 할거같네요,Friday
25-07-15,4.0,늘 마시던거라 만족합니다만 행사용 기프트는 너무 작아서 실망스럽네요.다음부턴 제대로된거로 쓸수있는거로 부탁드립니다.,Tuesday
25-07-19,5.0,n번째 구매에요  우선 사이즈가 넘 좋아서 남기는거 없이 마실수 있고 배송 가격 최고에요  절대 안떨어지는 콜라에요!!,Saturday
25-06-29,5.0,코카콜라 오리지널은 탄산음료 먹고 싶을때 제일 먼저 생각나는 음료수에요. 포장 꼼꼼하고 유통기한 넉넉하니 믿고 구매하세요.,Sunday
25-07-17,5.0,배송도 빠르고 제품 잘 받아보네요 다음에 또 다시 주문 할게요 감사합니다,Thursday
25-07-20,5.0,여름이라 시원하게 마시려고 샀어요!!  빠른배송 감사합니다!!,Sunday
25-07-11,4.0,더운날씨 배송 감사합니다 코카콜라 맛있어요 좋아요 강추합니다,Friday
25-07-08,5.0,위스키콕 해먹으려고 작은거로 주문했어요. 한캔으로 한두잔 나오고 역시 코카콜라로 만들어야 맛있네요. 몇개 밑에 볼록해져서 왔네요.  더운데 택배로 오니 그런듯..이해하고 잘,Tuesday
25-07-20,5.0,좀 더 큰 용량들이 가격적 혜택이 더 좋지만  이 패키지가 한 번 먹기 딱 좋아  계속 이 사이즈만 주문하고 있어요.,Sunday
25-07-20,5.0,좀 더 큰 용량들이 가격적 혜택이 더 좋지만  이 패키지가 한 번 먹기 딱 좋아  계속 이 사이즈만 주문하고 있어요.,Sunday
25-07-19,1.0,제일 큰거는 멀쩡하고 제일 작은 사이즈는 다 찌그러진걸로 배송왔네요 정말 최악입니다.,Saturday
25-07-21,5.0,제품 넘좋네요 감사합니다 담에또 구입할게요 수고하세욤,Monday
25-07-04,5.0,배송빠르게왔고 터진거없이 잘받았어요  크기가작아서  남기지않고 다마실수있어서  좋으네요,Friday
25-07-16,5.0,주문하고 다음날 바로 받았어요!! 행사기간이라 할인받아서 저렴하게 구매했어요,Wednesday
25-07-19,5.0,늘 재구매 하는 것입니다. 한번먹기 좋은 양에  콜라는 항상 맛있습니다.,Saturday
25-07-07,3.0,아 바로와서 마시려는데 캔이 찌그러져있더라구요 이런거 마셔도 되는지..상태보니 많이 찌그러져있어요 생각 같아선 반품하고싶지만 탹배 왔다갔다 시간걸릴것같아 그냥 마십니다 다음엔,Monday
25-07-20,5.0,콜라 너무 좋아해서 구매했습니다  딱 2컵 정도 나와서 탄산 유지되고 너무 좋아요,Sunday
25-07-19,5.0,용량이 작아서 먹고 싶을때 자주 부담 없이 먹을 수 있어서 너무 좋습니다. 다 먹으면 또 사고 싶을거 같습니다.,Saturday
25-07-20,5.0,매번 여기서 주문합니다 배송도 엄청 빠르고 캔도 찌그러지지 않게 잘 배송되요,Sunday
25-07-17,5.0,배송하면 바로 다음날 와서 좋아요 용량도 좋습니다,Thursday
25-07-17,5.0,코카콜라 190ml 한번에 먹기 딱 적당한 사이즈라 좋아요! 탄산도 괜찮아요,Thursday
25-07-15,5.0,어제 저녁 늦게 주문했는데 오늘 도착했습니다.  빠른배송 감사합니다.,Tuesday
25-07-04,4.0,지금까지도 잘마시고 있어요,Friday
25-07-15,5.0,사이즈가 적당해서 매번 주문해서 잘 마시고 있습니다. 배송 빨라요,Tuesday
25-07-19,5.0,큰어른이 좋아하는 콜라예요 배송빠르고 다 먹어 갑니다,Saturday
25-07-15,5.0,빠른 배송 고맙습니다.  회사에 직원 간식용으로 구매했습니다.  앞으로도 잘 이용하겠습니다,Tuesday
25-07-17,5.0,항상 주문하는 맛 좋은 코카콜라 빠른 배송에 만족합니다.  올 여름도 코카콜라 Summer Week!,Thursday
25-07-15,5.0,저렴한 가격에 좋은 상품 구매해서 감사합니다,Tuesday
25-07-13,5.0,늘 마시는 코카콜라.. 앞으로 이 구매처에서 자주 이용할 것 같아요 감사합니다,Sunday
25-07-20,5.0,배송도 빠르고 좋아요 감사합니다,Sunday
25-07-16,5.0,"자녀들이 자주 섭취하여 항상 구비해두고 즐겨 먹는 콜라의 맛은 이미 널리 알려져 있습니다. 끊을 수 없는 콜라의 매력에, 일단 즐기자요",Wednesday
25-07-06,5.0,역시 콜라는 코카죠.여름엔 시원하게 한잔씩 2박스샀어요.,Sunday
25-07-06,2.0,겉박스 포장없이 와서 캔 하나가 파열돼서 박스 전체가 다 젖어서 캔이 끈적해져서 일일이 헹궈야했습니다.,Sunday
25-07-19,5.0,처음구매했어요 맛이 좋아요,Saturday
25-07-19,5.0,빠르게 잘받았습니다.  사이즈 딱 적당해서 구입했습니다.,Saturday
25-07-05,5.0,조금씩 탄산빠지지않게 마시고 싶어서  제일작은사이즈로 구매했는데 딱좋아요.  벌써 몇개남지않아서 또 재구매합니다,Saturday
25-07-20,5.0,빠른배송 감사드립니다 잘먹겠습니다,Sunday
25-07-13,5.0,급하게주문했는데 일욜에배송되고 넘좋아요. 또들를게요.,Sunday
25-07-15,5.0,배송 정말 짱이예요ㅎㅎ자주 구매하겠습니다,Tuesday
25-07-17,5.0,다음날 배송되는 초고속배송ㅋ짱입니다,Thursday
25-07-18,5.0,사무실용으로 주문하였는데 배송 빠르고 아직 마시지는 못했어요!,Friday
25-07-11,5.0,빠르게 배송해주시고 포장도 꼼꼼하게 잘되어 왔어요. 감사합니다.,Friday
25-07-19,4.0,속천불날때 탄산생각이..그래서 사서 두고 두고 마십니다,Saturday
25-07-20,4.0,배송도빠르고 가격대비괜찮네요,Sunday
25-07-13,5.0,부모님댁에 보내드렸어요. 빠른배송감사합니다.,Sunday
25-07-19,5.0,맛있어요 맛있어요 맛있어요 맛있어요,Saturday
25-07-17,5.0,양이 한번 마시기에 적당한 크기가 좋아요  캔이라 탄산도 좋아요,Thursday
25-07-18,5.0,배송이 빨라요 꾸준히 재구매하고있어요,Friday
25-07-17,5.0,배송 빨리 왔어요! 항상 잘 먹고 있어요,Thursday
25-07-09,5.0,한번에 다 마실수 있어 좋아요..  큰pt병은 끝까지 맞있게 먹기 힘들잖아요..  요즘은 날씨가 디워 더 찾는것 같아요..,Wednesday
25-07-12,5.0,유통기한 넉넉하고 빠르게 도착했습니다,Saturday
25-07-10,5.0,코카콜라 본사에서 와서 그런지 진짜 깨끗한 캔입니다. 내용물도 깨끗하고 맛있습니다,Thursday
25-07-19,5.0,빠른 배송 잘 받았습니다..잘 마시겠습니다..,Saturday
25-07-17,5.0,N번째 구매에요. 배송가격 다 만점입니다!,Thursday
25-07-18,5.0,배송도 빠르고 정말 저렴하게 구매했네요,Friday
25-07-10,5.0,항상 먹는데 용량도 딱 좋고 져렴하게 잘 구매했습니다. 배송도 빠르네요!!,Thursday
25-07-15,5.0,빠른배송 감사합니다 .  잘마시겠습니다.,Tuesday
25-07-17,5.0,계속 재구매하네요. 저렴하게 맛있는 콜라 잘 먹고 있습니다. 앞으로도 가격 올리지 말고 저렴하게 잘 부탁드립니다,Thursday
25-07-19,5.0,전에거 몇개는 부풀었던데 맛은 이상 없는거같아요,Saturday
25-07-16,5.0,항상 만족하며 재주문 하고있습니다!..  좋은 제품 감사합니다..,Wednesday
25-07-05,5.0,"말이 필요없죠.  오리지널 코카콜라!  광팬입니다. 가격 포장 퀵배송, 대만족입니다!!",Saturday
25-07-18,5.0,작은사이즈라 남기지 않고 먹을수 있어요  배송도 하루걸려 엄청 빠릅니다,Friday
25-07-03,5.0,한박스는 처음 구매해 봅니다 190미리라 한번먹기 딱 좋은 양이라 좋아요 페트병은 먹다 남기면 버리고 김빠지면 맛없으니 억지로 먹었는데 한캔 딱 마시면 좋네요,Thursday
25-07-11,4.0,코카콜라는 끊을수가 없다   냉장고에 쟁여두고 마십니다 번창하세요,Friday
25-07-20,5.0,저렴하게 구매해서 좋아요,Sunday
25-07-17,5.0,잘받았습니다 재구매입니다 감사합니다,Thursday
25-07-14,5.0,콜라는 코카콜라에용!! 빠른배송감사합니다,Monday
25-07-17,5.0,냉장고에 넣어두고.  잘 먹고있습니다.  다 먹으면 재구매 하겠습니다.,Thursday
25-07-13,5.0,저렴하게 구입 했어요 잘 먹을게요 배송 빨라요,Sunday
25-06-30,5.0,배불뚝이 재고도 없고 배송도 빠르고 좋아요.  소비기한도 2년이어서 넉넉하고 좋아요.,Monday
25-07-20,5.0,빠른배송 감사합니다,Sunday
25-07-08,5.0,일요일 배송이라니..고생이 많으십니다 정말  덕분에 토요일 저녁에 시키고 일요일에 받았습니다,Tuesday
25-07-17,5.0,가격좋고 배손빠른데 포장만 좀더 이중포장하면 좋겟어요,Thursday
25-07-19,5.0,항상 빠른 배송과 안전하게 도착했어요,Saturday
25-07-17,5.0,파손없이 잘 도착 하였고 여름에 시원하게 잘 마시고 있습니다,Thursday
25-07-20,5.0,말모말모 이제 몇번째 리뷰인지 항상애용합니다,Sunday
25-07-14,5.0,한번에 마시기가 너무 좋아요  남기는 것 보다는!!  한번에 쭈욱,Monday
25-07-19,4.0,배송이 빠르고 좋아요,Saturday
25-07-17,5.0,오래 전부터 늘함께했던 코카 역시 최고에요,Thursday
25-07-09,5.0,조금씩 시원하게 마실수 있어서 좋아요  빠른배송도 맘에 듭니다,Wednesday
25-07-11,5.0,배송 빨라요.  떨어질때쯤 주문하면 바로 다음날 도착합니다.,Friday
25-07-16,5.0,빠른 배송 감사합니다  시원하고 좋네요,Wednesday
25-07-16,5.0,배송 빠르고 저렴하게 구매했습니다,Wednesday
25-07-19,5.0,빠른 배송 감사합니다,Saturday
25-07-13,5.0,배송도 빠르고 저렴하게 잘샀어요,Sunday
25-07-18,5.0,최애 콜라 너무 맛있어요,Friday
25-07-17,5.0,공식몰이 다른곳보다 더 비싼건 아쉽네요ᆢ,Thursday
25-07-14,4.0,배송은 빨랐으나 기존과 달리 지정된 곳이 아닌 다른 곳으로 배송되었습니다,Monday
25-07-17,5.0,아주 맛있습니다 최고입니다,Thursday
25-07-13,5.0,더운여름 시원한 콜라와함께..일요일 배송도 넘 좋네요,Sunday
25-07-12,5.0,포장이 깔끔하고 배송이 빠릅니다. 제품도 만족합니다.,Saturday
25-07-20,5.0,당일 배송이라 더 좋네요,Sunday
25-07-12,5.0,잘 받았습니다 제로 마시다보면 자꾸 오리지날이 떠올라서 포기를 못하겠네요,Saturday
25-07-13,5.0,빠른 배송 감사한데 몇몇 캔 및부분이 부푼게 있는데 불량은 아니니 뭐ㅎㅎ,Sunday
25-07-19,5.0,만족합니다 다음에 또 시킬게요,Saturday
