date,rate,review
2025.04.29,5,떨어지기 전에 주문해요. 좋아요
2025.04.27,5,저렴하게 잘샀어요 빠른배송감사합니다
2025.04.01,5,잘 받았습니다. 감사합니다 ^^
2024.09.18,5,추석연휴 앞두고 탄산이 필요할것같아서 주문한 코카콜라^^ 크기도 귀엽고 탄산이 살아았어 좋아요
2025.07.15,5,좋아요 잘 마시고 있어요
2025.07.08,5,용량이  한번에  먹기에 적당하고  맛있어요
2025.07.03,5,양도 적당하고  맛있고 좋아요
2025.07.02,5,늘 사용하는 제품입니다
2025.06.04,5,"자주 구매하는 제품, 이마트에서 사면 싸서 좋아요 190ml는 한번에 마시기 좋고 주로 피자, 치킨 배달음식에 먹는 편입니다"
2025.02.17,5,잘 받았습니다. 감사합니다
2025.01.20,5,늘 쟁여놓는 콜라에요. 맛있고 배송 빨라요.
2025.01.04,5,용량이 적당해  한번에 마시기 좋아요.
2025.01.04,5,늘 쟁여둡니다. 문의 드릴 일 있었는데 처리도 빠르고 친절했어요.
2025.06.26,5,쓱 배송으로 만나 좋습니다. 감사합니다.
2025.06.25,5,할인해서 저렴하게 구입했습니다
2025.06.24,5,행사가격으로 샀는데 에스머니도 적립 받았고 쿠x보다 저렴하게 샀어요 ㅎㅎ
2025.06.19,5,새벽배송 편하고좋아요
2025.06.16,5,싸고양도만아요 쿠팡보다쌈
2025.06.16,5,좋아요 잘 마시고 있어요
2025.06.14,5,저렴하게 잘구매했어용.
2025.06.09,5,항시 구매 하는 품목... 좋아용 ^^*
2025.06.08,5,임신중이라 소화안될때 적은 용량이라 좋아요
2025.06.05,5,구매해서 만족합니다.
2025.06.03,5,배송 빠르고 작은 캔 좃아요
2025.06.02,5,할인가격에 적립도 해주고 저렴한 가격에 잘샀습니다
2025.06.02,5,늘 쟁여두고 사용합니다.좋아요
2025.05.16,5,만족스러운 상품입니다.  빠른 배송 감사드립니다. 재구매 의사 있습니다~!!
2025.05.13,5,용량이 적어서 남기지 않아서 좋아요
2025.05.11,5,양이 작아서 좋아요.
2025.05.07,5,좋아요 잘 마시고 있어요
2025.05.04,5,냉장고에 늘 쟁여놓아요
2025.05.03,5,저렴하게잘구입합니다.
2025.04.30,5,적당한 크기에 만족합니다
2025.04.24,5,한번에  먹을수 있는  적당량이고   맛도  만족합니다
2025.04.18,5,느끼한 음식엔 콜라죠
2025.04.08,5,저렴하게 잘 구매했습니다 마음에 듭니다
2025.04.06,5,진짜싸게 구잎쌔써ㅛ
2025.04.03,5,박스로 구매하는게 싸요
2024.12.06,5,역시 콜라는 코카콜라 세일하길래 얼른 쟁여뒀어요~
2024.11.11,5,너무 많이 안 마시려고 쁘띠사이즈로 사먹어요
2024.10.25,5,항상 구매하는 제품인데 저렴하게 사게되서 만족해요
2024.10.17,5,배송빠르네요ㅋㅋ 콜라는 역시 코카콜라 쟁여템ㅋㅋ
2024.10.12,5,쟁여템이예요. 저렴해요.
2024.05.08,5,늘 재구매해서 쟁여두고 마시는데 저번엔 한번 찌그러져 와서 맛이 없더라구요. 근데 그때는 아는분이 다른데서 구매했던것도 그랬었네요. 이후로는 제대로 오고 있어요. 여름이라 시원한 탄산이 더 생각나겠어요.
2025.05.22,4,작은 사이즈로 되어 있어서 한 번에 먹기 좋은 거 같아요 콜라 좋아하는 사람한테 선물 했어요.
2025.03.21,5,배송 빠르고 좋아요ㅎ
2025.03.21,5,잘 받아보았습니다. 재구매의사있습니다. 빠른 배송 감사드립니다.
2025.03.21,5,본사직영인지 몰라도  결제후 바로배송. 꼼꼼한 포장 늘 만족합니다
2025.03.11,5,가격도  싸고  맛도  좋아요
2025.03.04,5,배송도빠르고 만족합니다
2025.02.21,5,꼼꼼하게 전체 비닐로 래핑되서 배달왔습니다 탕비실에 두기 딱 좋은 사이즈에요
2025.02.15,5,저렴하게 잘 구매했어요!
2025.02.11,5,항상 구매합니다 좋아요
2025.02.07,5,용량이 작아서 먹기 편해요
