date,star_rate,review
2022.10.29,5.0,"아휴, 이미 비닐포장이 단단해서 굳이 또 박스 안에 넣어서 보내시지
않아도 된당게요 !
한박스 자체도 무거운디 그걸 두번을 박스안에 또 넣을라믄
힘드시잖아요 ㅠ
걍 30개짜리 두 묶음을 하나로 테이프로 붙여서 보내셔도 안 터지고
잘 온디 .. 감사해요 .
사실 저희집 콜라중독님께서 어지께 글드라고요 .
""마덜, 내 콜라 안왔어 ? 콜라고픈데 왜 아직이야 ?"" 허길래요
""오늘 온다혔소 "" 했지요 .
왔습니다 .
그래가 ""거 밖에 가서 들고 와요 "" 혔드만
이놈이 그런게 있습니다 . 지가 좋아하는거 지가 원하는거 일지라도
지가 절대 안 들고 옵니다 , 무겁다고요 .
그래가 ""콱 "" 혔드만 들고 오대요 .
진열함서 생각했습니다 .
""한번에 확 다 많이 집어 넣어놔 ?"" 했다가 아닙니다 .
걍 하던대로 했지요 .
물보다 콜라 이고 , 밥 먹음서도 ""마더도 콜라 한개 줘 ? 줘 ?"" 이래가
제가 주먹을 흔들정도입니다 .
지독합니다 아주 .
얼마 남지 않은 담달 초순에 다시 주문해두는게 좋을것 같습니다 .
이번에도 역시나 꼼꼼한 포장 잘 받았고요
감사합니다 .
맛은 이게 젤 맛있으니 계속 재구매하는거겠죠 ?"
2023.08.17,5.0,"저희집 중생들이 제가 ""이 사이즈가 제일 좋고 제일 맛있어 "" 라고 할땐
아주 다 믿진 않았었어요 .
콜라가 떨어진지 한참 되요 . 맨날 주문해야지 ~ 하곤 잊어버렸지요
아쉰대로 동네마트서 사다 마셨으나 날씬이 콜라가 밍밍하게 느껴졌어요
펫병은 더 밍밍했고요 .
저희집 고3 중생이 그러더라고요 .
""엄마 진짜 콜라는 이 사이즈가 제일 적당하고 맛있는것 같아요 "" 라고 하더라고요
날씬이 콜라 한번에 다 마실 수 있을것 같지만 먹다 몇모금 남기고 버리게 되서요
근데 이거는 마시다보면 ""엥? 벌써 다 마셨네 ?"" 함서 또 꺼내다 마시게 되요 .
즈희 동네는 안 팔아요 .
그래서 떨어지면 이렇게 여기서 주문해서 마시죠 .
포장도 엄청 꼼꼼히 보내주시잖아요 .
왜 , 박스에 한번더 담아보내주시는지 어제 알겠더라구요 .
그냥 비닐포장 상태로 온 음료들은 택배기사님들의 손아귀 힘으로 인해
옆에 잡는 부분의 비닐이 늘어나서 옮길때 비닐이 찢어지드라고요 .

현재 저희집은 3명이 사는데 , 60캔이면 한달은 마시거든요 .
혼자사는 큰아들 대3 중생이 똑같이 보내도 저희보다 먼저 마시네요 .
그래서 큰아들 기준으로 해서 주문하게 되는것 같아요 .
감사합니다 ."
2023.04.29,5.0,"제가 만든 이름입니다 .
날씬이 콜라와 미니 콜라요 .
미니는 정말 한 주먹 안에 들오잖아요 .
예전엔 날씬이 콜라만 마셨었는데 여기서 미니를 마시고나서는 거의 안 마시고
어쩌다 집에 있는게 떨어지면 날씬이를 사 마시지만 다 못 마시고 남깁니다 .
콜라도 다 맛이 달라서 , 젤 싫어하고 안 마시는건 뚱땡이 콜라고요 .
페트병에 들은것도 안 마십니다 .
미니가 딱 좋아요 .
포장은 주문때와 같이 안전하게 두번씩 포장을 해주시는지라 .. 크흡
그냥 보내셔도 된디 ㅠ
고맙습니다 !"
2021.07.10,5.0,"몇년 째 하루도 빠짐없이 채워놓는 코카콜라!!
늘 구매하는 상품인데 착한가격에 선물까지 받아서 넘 좋아여
틴쟁반 엄청 가볍고 깔끔하고 예뻐요
착한 가격에 선물에 꼼꼼한 포장에 빠른 배송까지 감사합니다~"
2022.05.16,5.0,"코카콜라👍
항상 미리 구입해 두고 있어요~^^
190ml 용량이 알맞고,
캔이 탄산수가 가장 톡쏘는것 같아요!!

가격도 저렴해서 만족스럽고,
찌그러짐 없이 빠르게 배송 됐어요~

코카콜라가 최고최고👍👍"
2021.04.07,5.0,남편이 콜라를 넘 좋아하는데 항상 찾아서 많이 사서 쟁였어요. 유통기한 23년 3월 21까지로 길어요. 박스포장에 캔 터진것도 없고 잘 받았습니다. 190ml라 한번에 마시기 알맞은 양입니다.
2022.11.21,5.0,"콜라가격이 다 올라서 사야하나 고민
여기저기 사이트 다 가보고
콜라없이는 못사는 신랑있어서 안사면 안되고..
롯데마트에서 행사하는걸로 착한가격에 180개 사버렸어요..지금 이시간 최저"
2022.03.25,5.0,"배송도 빠르게 잘왔구요!

탄산이라 먹다남으면.버리게되는데
190ml로 한번먹기 딱좋아요!

탄산음료도 가격이 올랐네요
마트나 편의점에서는 너무비싸니
이렇게 집에 사놓고 먹기 좋네요^^"
2021.07.08,5.0,콜라는 늘 쟁여두고 있어요 유통기한 넉넉하고 덜 찌그러지게 박스안에 포장되어 왔습니다 뜻밖의 사은품 너무 이쁘네요 감사합니다
2021.06.03,5.0,"박스에 넣어 안전하게 집앞에까지 잘 도착했네요..
당분간 콜라 걱정없이 잘 먹을것 같네요..
오자마자 아드님이 한캔 뚝딱했네요..
다른분들은 캔이 찌그러졌다고 했는데 그런거 하나 없이 왔네요.."
2023.11.14,5.0,"병콜라때부터 즐겨먹는 최애음료!
양이 적당해서 좋아요"
2023.09.09,5.0,롯데온 콜라가 가장 저렴하거 배송도 빠르고 안전하게.배송되네여. 몇번을 주문했는지 머르겠어요 . 떨어지면 계속 주문합니다.
2023.07.06,3.0,"상품은 잘받았어요 코카콜라 맛도 좋구요
배송도 빠르고 다 좋았는데 분명 대문앞에 두지 말라고 현관 계단에 놔주라고 부탁드렸는데 대문에두고 할머님이 넣어주라고 했는데 그냥 생까고 가시고 바쁜건 아는데 그러는건 아닌것같아요. 할머니가 옴기다가 넘어지시고 ㅜㅜ 진짜 짜증납니다."
2022.05.11,5.0,용량이 작아 한번에 먹기 편해요
2022.04.12,5.0,"가격도 타쇼핑몰보다 저렴하고 배송도빨라요
다이어트를위해 190 미리로 주문했어요"
2022.03.15,5.0,"좋은가격에 최고의 구성 롯데ON만 가능한거 아닐까요❓
아버지가 좋아하셔서 1회 구매하고 다음날 저희집도 두고두고 먹을려고 구매했네요.
한박스는 창고에 한박스는 냉장고에 꽉꽉~
부자된 기분이네용"
